case_id,activity,timestamp,duration,resource
1001,Order Received,2024-01-15 08:00:00,2,System1
1001,Validation,2024-01-15 08:30:00,5,System1
1001,Processing,2024-01-15 09:00:00,15,System1
1001,Quality Check,2024-01-15 10:00:00,8,System1
1001,Shipped,2024-01-15 11:00:00,3,System1
1002,Order Received,2024-01-15 09:00:00,2,System1
1002,Validation,2024-01-15 09:30:00,6,System1
1002,Processing,2024-01-15 10:00:00,25,System1
1002,Validation,2024-01-15 12:00:00,4,System1
1002,Quality Check,2024-01-15 13:00:00,7,System1
1002,Shipped,2024-01-15 14:00:00,2,System1
1003,Order Received,2024-01-16 08:00:00,3,System1
1003,Validation,2024-01-16 08:30:00,5,System1
1003,Processing,2024-01-16 09:00:00,12,System1
1003,Quality Check,2024-01-16 10:30:00,6,System1
1003,Shipped,2024-01-16 11:30:00,4,System1
